word,rank,frequency,source,level,tags,translation,bnc,frq
people,56,0.01612903,ecdict_education,zk,zk gk,"n. 人, 人民, 民族, 平民\nvt. 使住满人, 居住于",75,62
take,57,0.01587302,ecdict_education,zk,zk gk ielts,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费\nvi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产\nn. 拿, 取, 收成, 奏效",51,63
out,58,0.01562500,ecdict_education,zk,zk gk,"a. 外面的, 熄灭的, 结束的\nadv. 在外, 熄灭, 出现\nprep. 出自, 离去, 向",62,64
into,59,0.01538462,ecdict_education,zk,zk gk,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况",57,65
just,60,0.01515152,ecdict_education,zk,zk gk,"a. 正直的, 合理的, 正确的, 应得的\nadv. 刚刚, 正好, 仅仅",72,66
see,61,0.01492537,ecdict_education,zk,zk gk,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意\nvi. 看, 观看, 注意, 知道, 考虑\nn. 主教的职位",47,67
him,62,0.01470588,ecdict_education,zk,zk gk,pron. 他,,68
your,63,0.01449275,ecdict_education,zk,zk gk,"pron. 你的, 你们的",66,69
come,64,0.01428571,ecdict_education,zk,zk gk ielts,"vi. 过来, 来, 到达, 出现, 开始\ninterj. 喂",65,70
could,65,0.01408451,ecdict_education,zk,zk,"aux. 可以, 能",55,71
now,66,0.01388889,ecdict_education,zk,zk gk,"adv. 现在, 刚才, 目前\nn. 现在\na. 现在的\nconj. 由于",67,72
than,67,0.01369863,ecdict_education,zk,zk gk,"conj. 比, 除...外\nprep. 比",89,73
like,68,0.01351351,ecdict_education,zk,zk gk,"a. 相似的, 同样的\nvt. 喜欢, 愿意, 想\nvi. 喜欢, 希望\nn. 爱好, 同样的人(或物)\nprep. 象, 如同\nadv. 可能",88,74
other,69,0.01333333,ecdict_education,zk,zk gk,"a. 其他的, 另外的, 从前的\npron. 其他的, 他人, 另外一个",69,75
how,70,0.01315789,ecdict_education,zk,zk gk,"adv. 如何, 怎样, 多少, 多么\nn. 方式",90,76
then,71,0.01298701,ecdict_education,zk,zk gk,"adv. 然后, 当时\nconj. 然后, 当时\nn. 那时",59,77
its,72,0.01282051,ecdict_education,zk,zk gk,pron. 它的,58,78
our,73,0.01265823,ecdict_education,zk,zk gk,pron. 我们的,93,79
two,74,0.01250000,ecdict_education,zk,zk gk,"num. 二, 二个",60,80
more,75,0.01234568,ecdict_education,zk,zk,"n. 更多\na. 多的, 程度较大的, 更大的\nadv. 多, 更多, 进一步\n[计] DOS外部命令:显示满屏后自动暂停, 并显示:""--More--"", 按任意键继续",74,81
these,76,0.01219512,ecdict_education,zk,zk gk,pron. 这些,76,82
want,77,0.01204819,ecdict_education,zk,zk gk gre,"n. 需要的东西, 缺乏, 贫困, 需要\nvt. 要, 希望, 应该, 缺少\nvi. 生活困苦, 需要, 缺少",94,83
way,78,0.01190476,ecdict_education,zk,zk gk toefl,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面\nadv. 远远地, 非常",86,84
look,79,0.01176471,ecdict_education,zk,zk gk,"n. 一看, 神色, 样子, 面容\nvi. 看, 注意, 朝着, 显得\nvt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待",82,85
first,80,0.01162791,ecdict_education,zk,zk gk,"adv. 首先, 第一, 优先\na. 第一的\nnum. 第一\nn. 开始, 第一",79,86
also,81,0.01149425,ecdict_education,zk,zk gk,"adv. 也, 并且, 同样地",77,87
new,82,0.01136364,ecdict_education,zk,zk gk,"a. 新的, 陌生的, 最近的, 不熟悉的\n[法] 新发现的, 新的, 重新开始的",81,88
because,83,0.01123596,ecdict_education,zk,zk gk,conj. 因为,101,89
day,84,0.01111111,ecdict_education,zk,zk gk ielts,"n. 天, 日子, 白天, 工作日\n[医] 日(一昼夜), 昼, 白天",95,90
use,85,0.01086957,ecdict_education,zk,zk gk,"n. 使用, 习惯, 使用价值, 用法, 使用权\nvt. 使用, 利用, 运用, 耗费\nvi. 惯常",87,92
no,86,0.01075269,ecdict_education,zk,zk gk,"n. 不, 拒绝, 否决票\na. 没有, 不是, 绝非\nadv. 不",68,93
man,87,0.01063830,ecdict_education,zk,zk gk,"n. 男人, 人类, 人\nvt. 为...配备人手, 操纵, 使振奋\n[计] 城域网, 手册",91,94
find,88,0.01052632,ecdict_education,zk,zk gk,"vt. 发现, 感到, 找到, 认为, 得到\nvi. 裁决\nn. 发现\n[计] 查找; DOS外部命令:在指定的文件或从键盘输入的文本行中\n寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上",92,95
here,89,0.01041667,ecdict_education,zk,zk gk,"adv. 在这里, 此时, 这里\nn. 这里",117,96
thing,90,0.01030928,ecdict_education,zk,zk gk,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征",106,97
give,91,0.01020408,ecdict_education,zk,zk gk ielts,"n. 弹性, 适应性\nvt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出\nvi. 捐赠, 支持不住, 让步",71,98
many,92,0.01010101,ecdict_education,zk,zk gk,"n. 多数, 多数人\na. 许多的\npron. 许多",98,99
well,93,0.01000000,ecdict_education,zk,zk gk toefl,"n. 井, 泉水, 源泉, 好\nv. 涌出\na. 健康的, 良好的, 适宜的, 恰当的\nadv. 很好地, 适当地, 好意地, 很, 完全\ninterj. 好啦",84,100
only,94,0.00990099,ecdict_education,zk,zk gk,"a. 唯一的, 仅有的, 最佳的\nadv. 只有, 仅仅, 只能\nconj. 但是, 不过",70,101
those,95,0.00980392,ecdict_education,zk,zk gk,pron. 那些,100,102
tell,96,0.00970874,ecdict_education,zk,zk gk,"vt. 告诉, 说, 吩咐, 断定, 知道\nvi. 讲述, 泄密, 告发, 表明",107,103
very,97,0.00952381,ecdict_education,zk,zk gk,"a. 真正的, 恰好的, 十足的, 特有的\nadv. 非常, 完全",80,105
even,98,0.00934579,ecdict_education,zk,zk gk ielts toefl gre,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的\nvt. 使平坦, 使相等\nvi. 变平, 成为相等\nadv. 甚至, 实际上, 完全, 十分\nn. 偶数, 偶校验\n[计] 偶数, 偶校验",113,107
back,99,0.00925926,ecdict_education,zk,zk gk ielts,"a. 后面的\nvt. 使后退, 支持\nvi. 倒退, 背靠\nadv. 向后地\nn. 背部, 后面",105,108
any,100,0.00917431,ecdict_education,zk,zk gk,a. 任何的\npron. 任何,78,109
good,101,0.00909091,ecdict_education,zk,zk gk ielts,"n. 善行, 好处, 利益\na. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的",73,110
woman,102,0.00900901,ecdict_education,zk,zk gk,"n. 女人, 妇女, 女仆\na. 女用的, 女性的, 妇女的\nvt. 贬称...为女人, 使成女人腔",130,111
through,103,0.00892857,ecdict_education,zk,zk gk,"adv. 穿越, 从头至尾, 到底, 因为\nprep. 经过, 穿过\na. 对穿的, 直达的, 完结的",109,112
us,104,0.00884956,ecdict_education,zk,zk,pron. 我们\n[经] 美国,614,113
life,105,0.00877193,ecdict_education,zk,zk gk,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑\n[医] 生活, 生存, 生命, 寿命",128,114
child,106,0.00869565,ecdict_education,zk,zk gk ielts,"n. 孩子, 产物, 追随者\n[医] 儿童",114,115
work,107,0.00854701,ecdict_education,zk,zk gk,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程\nvi. 工作, 劳动, 做, 运转, 起作用, 被加工\nvt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成",125,117
down,108,0.00847458,ecdict_education,zk,zk gk toefl gre,"a. 向下的\nadv. 下, 下去, 降下\nprep. 往下, 沿着\nn. 丘陵, 软毛, 开阔的高地\n[计] 向下, 退下命令",102,118
may,109,0.00840336,ecdict_education,zk,zk gk ielts,"n. 五月\naux. 愿能, 可以, 愿意",83,119
after,110,0.00833333,ecdict_education,zk,zk gk,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来",96,120
should,111,0.00826446,ecdict_education,zk,zk gk,"aux. 应该, 将要",85,121
call,112,0.00819672,ecdict_education,zk,zk gk ielts,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求\nvt. 呼叫, 召集, 打电话\nvi. 叫喊, 访问, 叫牌\n[计] 调用; 呼叫; DOS内部命令:在批处理文件中调用另一个批处理文件",161,122
world,113,0.00813008,ecdict_education,zk,zk gk ielts,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量\n[法] 世界, 地球, 世人",146,123
over,114,0.00806452,ecdict_education,zk,zk gk,"adv. 结束, 越过, 从头到尾\nprep. 在...之上, 遍于...之上, 越过\na. 上面的\nvt. 越过",110,124
school,115,0.00800000,ecdict_education,zk,zk gk ielts gre,"n. 学校, 鱼群, 门派, 学派\nvt. 教育, 训练, 培养\nvi. 成群地游",165,125
still,116,0.00793651,ecdict_education,zk,zk gk toefl,"n. 蒸馏室, 寂静, 剧照\nv. 蒸馏, (使)平静, (使)静止\na. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的\nadv. 仍然, 更, 静止地\nconj. 然而, 但是",112,126
try,117,0.00787402,ecdict_education,zk,zk gk,"n. 尝试, 试验, 审理, 审判\nvt. 试, 尝试, 试验, 考验, 审问, 提炼\nvi. 尝试, 试图",159,127
ask,118,0.00763359,ecdict_education,zk,zk gk,"vi. 问, 要求\nvt. 问, 要求, 邀请, 需要",141,131
need,119,0.00757576,ecdict_education,zk,zk gk,"n. 需要, 必须, 缺乏\nvt. 需要, 必需\nvi. 贫困, 有必要\naux. 需要",132,132
too,120,0.00751880,ecdict_education,zk,zk gk,"adv. 也, 非常, 太",115,133
feel,121,0.00746269,ecdict_education,zk,zk gk ielts,"vt. 感觉, 觉得, 触摸, 以为\nvi. 有知觉, 摸索, 同情\nn. 感觉, 觉得, 触摸",135,134
three,122,0.00740741,ecdict_education,zk,zk gk,"num. 三, 三个",104,135
state,123,0.00729927,ecdict_education,zk,zk gk cet4 cet6,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位\na. 国家的, 正式的, 礼仪用的, 州的\nvt. 说明, 陈述, 规定\n[计] 状态",194,137
never,124,0.00724638,ecdict_education,zk,zk gk,"adv. 从不, 决不, 不曾\n[法] 永不, 决不, 从来没有",157,138
become,125,0.00719424,ecdict_education,zk,zk gk ielts,"vi. 变成, 变得\nvt. 适合",122,139
between,126,0.00714286,ecdict_education,zk,zk gk,prep. 在...之间,97,140
high,127,0.00709220,ecdict_education,zk,zk gk,"n. 高度, 高处\na. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的\nadv. 高度地, 奢侈地",152,141
something,128,0.00704225,ecdict_education,zk,zk gk,"pron. 某事, 某物",167,142
really,129,0.00699301,ecdict_education,zk,zk,"adv. 实际上, 真实地, 实在",179,143
most,130,0.00694444,ecdict_education,zk,zk gk ielts,"n. 最多, 最大\na. 大多数的, 几乎全部的, 最多的\nadv. 最, 最多, 极其",153,144
another,131,0.00689655,ecdict_education,zk,zk gk,"a. 另外的, 再一的, 不同的\npron. 又一个, 另一个, 类似的另一个",150,145
much,132,0.00684932,ecdict_education,zk,zk gk,"n. 大量, 许多, 重要的事\na. 很多的, 重要的\nadv. 多, 甚, 几乎",164,146
family,133,0.00680272,ecdict_education,zk,zk gk ielts,"n. 家庭, 家人, 族\na. 家庭的",200,147
own,134,0.00675676,ecdict_education,zk,zk gk,"n. 自己的\na. 自己的, 嫡亲的, 同胞的\nvt. 拥有, 支配, 自认, 承认, 顺从于\nvi. 承认, 供认",118,148
leave,135,0.00666667,ecdict_education,zk,zk gk ielts,"n. 许可, 告别, 请假, 休假\nvt. 离开, 剩下, 遗忘, 委托, 丢弃\nvi. 出发, 离开, 生叶",127,150
put,136,0.00662252,ecdict_education,zk,zk gk ielts,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予\nvi. 出发, 航行, 发芽\nn. 掷, 股票出售权, 笨蛋\na. 固定不动的\n[计] 发送文件",116,151
old,137,0.00657895,ecdict_education,zk,zk gk,"n. 以前, 往昔\na. 老的, 旧的, 古老的, 年长的, 老练的",126,152
while,138,0.00653595,ecdict_education,zk,zk gk,"n. 一会儿, (一段)时间\nconj. 当...的时候, 虽然\nvt. 消磨",173,153
mean,139,0.00649351,ecdict_education,zk,zk gk ielts toefl gre,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的\nvt. 意谓, 想要, 意欲, 预定\nvi. 用意, 有意义\nn. 平均数, 中间, 中庸",121,154
keep,140,0.00641026,ecdict_education,zk,zk gk ielts,"n. 生计, 维持, 保持\nvt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐\nvi. 保持, 继续不断",171,156
student,141,0.00636943,ecdict_education,zk,zk gk ielts,"n. 学生, 研究者, 学者",432,157
why,142,0.00632911,ecdict_education,zk,zk gk,"adv. 为什么\nn. 原因, 理由",169,158
let,143,0.00628931,ecdict_education,zk,zk gk ielts,"vt. 让, 假设, 出租, 排放, 妨碍\nvi. 出租, 被承包\nn. 出租屋, 障碍",320,159
great,144,0.00625000,ecdict_education,zk,zk gk,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的\nadv. 顺利地, 得意地\nn. 全部, 大人物, 大师",129,160
same,145,0.00621118,ecdict_education,zk,zk gk,"a. 相同的, 同样的\npron. 相同的人(或事物)\nadv. 同样地",137,161
big,146,0.00617284,ecdict_education,zk,zk gk,"a. 大的, 重要的\nadv. 大量地",260,162
group,147,0.00613497,ecdict_education,zk,zk gk ielts gre,"n. 团体, 组, 团, 群\nv. 聚合, 成群\n[计] 创建组; 组, 用户组",142,163
begin,148,0.00609756,ecdict_education,zk,zk gk,v. 开始\n[计] 开始,193,164
seem,149,0.00606061,ecdict_education,zk,zk gk,"vi. 象是, 似乎",134,165
country,150,0.00602410,ecdict_education,zk,zk gk ielts,"n. 国家, 乡村, 地区, 故乡\na. 乡下的, 农村的\n[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式",175,166
help,151,0.00598802,ecdict_education,zk,zk gk,"n. 帮忙, 帮助者, 补救办法, 有益的东西\nvt. 帮助, 帮忙, 接济, 治疗, 款待\nvi. 有用, 救命, 招待\n[计] 帮助, 帮助程序; DOS外部命令: DOS命令的电子文件帮助程序",204,167
talk,152,0.00595238,ecdict_education,zk,zk gk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言\nvi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话\nvt. 讲, 说, 讨论, 谈论\n[计] 对话类, 聊天",289,168
where,153,0.00591716,ecdict_education,zk,zk gk,adv. 在哪里\npron. 哪里\nn. 地点,131,169
turn,154,0.00588235,ecdict_education,zk,zk gk,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折\nvt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通\nvi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手",183,170
problem,155,0.00584795,ecdict_education,zk,zk gk,"n. 问题, 难题\na. 成问题的, 难处理的",154,171
every,156,0.00581395,ecdict_education,zk,zk gk,"a. 每一, 所有的",210,172
start,157,0.00578035,ecdict_education,zk,zk gk,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件\nvi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛\nvt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用\n[计] 起始",205,173
hand,158,0.00574713,ecdict_education,zk,zk gk ielts,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手\nvt. 交给, 支持, 搀扶",163,174
might,159,0.00571429,ecdict_education,zk,zk gk cet4 ielts,"n. 力量, 权力\naux. 可能, 也许",138,175
american,160,0.00568182,ecdict_education,zk,zk gk ielts,"n. 美国人\na. 美国的, 美洲的",636,176
show,161,0.00564972,ecdict_education,zk,zk gk,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相\nvt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领\nvi. 露面, 显现, 演出\n[计] 显示",147,177
part,162,0.00561798,ecdict_education,zk,zk gk cet4 ielts,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位\nvt. 分开, 分离, 断绝, 区别, 分配\nvi. 分开, 断裂, 分手\na. 部分的, 局部的\nadv. 部分地, 有些",140,178
against,163,0.00555556,ecdict_education,zk,zk gk cet4,"prep. 反对, 对着, 倚靠",155,180
place,164,0.00552486,ecdict_education,zk,zk gk ielts,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位\nvt. 放置, 寄予, 认出, 评定, 任命\nvi. 名次列前",162,181
such,165,0.00546448,ecdict_education,zk,zk gk,"a. 如此的, 这样的",108,183
again,166,0.00543478,ecdict_education,zk,zk gk,"adv. 再一次, 又, 到原处",156,184
few,167,0.00540541,ecdict_education,zk,zk gk,"a. 很少的, 不多的, 少数的\nn. 少数",189,185
week,168,0.00531915,ecdict_education,zk,zk gk,"n. 星期, 周",180,188
company,169,0.00529101,ecdict_education,zk,zk gk ielts toefl,"n. 公司, 友伴, 交往, 连队, 朋友, 一群\nvt. 陪伴\nvi. 交往",151,189
each,170,0.00520833,ecdict_education,zk,zk gk,"a. 每个, 每一\nadv. 每个\npron. 每个, 个人, 各自",170,192
right,171,0.00518135,ecdict_education,zk,zk gk,"n. 权利, 右边, 正义, 右派, 公正\na. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的\nadv. 正确地, 以有利结果, 一直, 直接, 向右\nvt. 扶直, 整理, 纠正, 伸冤, 使昭雪\nvi. 恢复平衡\n[计] 右, 权利",244,193
hear,172,0.00512821,ecdict_education,zk,zk gk,"vt. 听到, 倾听, 听说, 审理\nvi. 听见, 听",238,195
question,173,0.00507614,ecdict_education,zk,zk gk,"n. 问题, 询问\nv. 询问, 审问, 怀疑\n[计] 询问",221,197
during,174,0.00505051,ecdict_education,zk,zk gk,prep. 在...的时候,192,198
play,175,0.00500000,ecdict_education,zk,zk gk,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本\nv. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动\n[计] 播放",224,200
government,176,0.00497512,ecdict_education,zk,zk gk cet4 cet6 ielts,"n. 政府, 内阁\n[经] 政府, 政治, 政体",124,201
run,177,0.00495050,ecdict_education,zk,zk gk,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续\nvi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延\nvt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行\na. 熔化的, 融化的, 浇铸的\nrun的过去式和过去分词\n[计] 运行",208,202
small,178,0.00492611,ecdict_education,zk,zk gk,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的\nadv. 些微地\nn. 狭小部分",168,203
number,179,0.00490196,ecdict_education,zk,zk gk,"n. 数, 数字, 数目, 号码\nvt. 数, 计算, 共计\nvi. 计算, 报数\n[计] 数字",143,204
off,180,0.00487805,ecdict_education,zk,zk gk,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的\nadv. 走开, ...掉, ...下, 休息, 出发, 隔断\nprep. 离开, 脱落, 不在从事......, 在...之外\nvi. 离开, 滚开\nvt. 杀死\nn. 关闭状态\n[计] 关闭, 清屏命令",174,205
always,181,0.00485437,ecdict_education,zk,zk gk,"adv. 总是, 始终",185,206
move,182,0.00483092,ecdict_education,zk,zk gk,"n. 移动, 迁居, 步骤\nvt. 移动, 开动, 感动, 搬(家)\nvi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手\n[计] 移动; 传送; DOS外部命令:移动文件, 它可将文件移动到指定的地方",220,207
night,183,0.00478469,ecdict_education,zk,zk gk ielts,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作\n[法] 夜, 黑夜, 黑暗",216,209
